"","Network","remove_strategy","remove_ratio","remove_number","measure","Mean","SD"
"73","IW","node_rand",0.4,"122","Eff",0.339787230176954,0.00976579665296244
"74","IW","node_rand",0.4,"122","Eigen",0.684268395018913,0.235702829446295
"75","IW","node_rand",0.4,"122","Pcr",0.961284568610037,0.00601847631341863
"76","IW","node_rand",0.5,"152","Eff",0.315907786589318,0.0145676277543836
"77","IW","node_rand",0.5,"152","Eigen",0.367348816467358,0.102399556401415
"78","IW","node_rand",0.5,"152","Pcr",0.938937596333288,0.00764485093937132
"79","IW","node_rand",0.6,"183","Eff",0.316328783989612,0.0199583115708045
"80","IW","node_rand",0.6,"183","Eigen",0.226423289049871,0.107495381642926
"81","IW","node_rand",0.6,"183","Pcr",0.905756311152248,0.0277166110778216
"82","IW","node_rand",0.7,"214","Eff",0.295776348048491,0.0250816479705775
"83","IW","node_rand",0.7,"214","Eigen",0.182850929936456,0.0926643933692595
"84","IW","node_rand",0.7,"214","Pcr",0.835797728312575,0.0532392716199589
"85","IW","node_rand",0.8,"244","Eff",0.261252071787267,0.0253512113160255
"86","IW","node_rand",0.8,"244","Eigen",0.0888549439746337,0.0356849386100156
"87","IW","node_rand",0.8,"244","Pcr",0.304543793852051,0.43357800461259
"88","IW","node_rand",0.9,"274","Eff",0.218980377276701,0.039255202733493
"89","IW","node_rand",0.9,"274","Eigen",0.0555819061125701,0.00846755133072171
"90","IW","node_rand",0.9,"274","Pcr",-3.14712294481783,30.367901714157
"91","IW","node_degree_high",0,"0","Eff",0.37225116137238,NA
"92","IW","node_degree_high",0,"0","Eigen",2.06391603084241,NA
"93","IW","node_degree_high",0,"0","Pcr",0.986329524759086,NA
"94","IW","node_degree_high",0.1,"30","Eff",0.341173285852236,NA
"95","IW","node_degree_high",0.1,"30","Eigen",0.25319276370446,NA
"96","IW","node_degree_high",0.1,"30","Pcr",0.96254215150011,NA
"97","IW","node_degree_high",0.2,"61","Eff",0.306177570815836,NA
"98","IW","node_degree_high",0.2,"61","Eigen",0.0541633220853662,NA
"99","IW","node_degree_high",0.2,"61","Pcr",0.884935377531265,NA
"100","IW","node_degree_high",0.3,"92","Eff",0.262382955430211,NA
"101","IW","node_degree_high",0.3,"92","Eigen",0.0222315769501133,NA
"102","IW","node_degree_high",0.3,"92","Pcr",0.591277493983305,NA
"103","IW","node_degree_high",0.4,"122","Eff",0.21384743988309,NA
"104","IW","node_degree_high",0.4,"122","Eigen",0.0141856656054082,NA
"105","IW","node_degree_high",0.4,"122","Pcr",-3.46850304809212,NA
"106","IW","node_degree_high",0.5,"152","Eff",0.16475280524735,NA
"107","IW","node_degree_high",0.5,"152","Eigen",0.0108205770059284,NA
"108","IW","node_degree_high",0.5,"152","Pcr",3.23253175140343,NA
"109","IW","node_degree_high",0.6,"183","Eff",0.111344707380948,NA
"110","IW","node_degree_high",0.6,"183","Eigen",0.0084205758678729,NA
"111","IW","node_degree_high",0.6,"183","Pcr",2.29619805481874,NA
"112","IW","node_degree_high",0.7,"214","Eff",0.0363569927507209,NA
"113","IW","node_degree_high",0.7,"214","Eigen",0.00601007185435311,NA
"114","IW","node_degree_high",0.7,"214","Pcr",2.09089471876607,NA
"115","IW","node_degree_high",0.8,"244","Eff",0.00702703192312805,NA
"116","IW","node_degree_high",0.8,"244","Eigen",0.00345790136586585,NA
"117","IW","node_degree_high",0.8,"244","Pcr",2.01383125864454,NA
"118","IW","node_degree_high",0.9,"274","Eff",0.00332026841795817,NA
"119","IW","node_degree_high",0.9,"274","Eigen",0.00177342497469287,NA
"120","IW","node_degree_high",0.9,"274","Pcr",2.00299170659696,NA
"121","TW","edge_rand",0,"0","Eff",0.167628704367863,0
"122","TW","edge_rand",0,"0","Eigen",0.0106883084538406,0
"123","TW","edge_rand",0,"0","Pcr",0.90765247410817,0
"124","TW","edge_rand",0.1,"64","Eff",0.16191217269999,0.00374572577255547
"125","TW","edge_rand",0.1,"64","Eigen",0.00991859914157402,0.000176402949150758
"126","TW","edge_rand",0.1,"64","Pcr",0.887990282783375,0.00297190876110678
"127","TW","edge_rand",0.2,"128","Eff",0.156556632078489,0.00480156340234041
"128","TW","edge_rand",0.2,"128","Eigen",0.00938406929085726,0.000219918891064936
"129","TW","edge_rand",0.2,"128","Pcr",0.861609359549443,0.00653609210342151
"130","TW","edge_rand",0.3,"193","Eff",0.144835121317833,0.00727425959839589
"131","TW","edge_rand",0.3,"193","Eigen",0.00869734187820913,0.000375456237352881
"132","TW","edge_rand",0.3,"193","Pcr",0.822056283170277,0.0087008497565838
"133","TW","edge_rand",0.4,"257","Eff",0.139020240058923,0.00766221509701695
"134","TW","edge_rand",0.4,"257","Eigen",0.00830881123950332,0.000389085603790144
"135","TW","edge_rand",0.4,"257","Pcr",0.766994098304834,0.0132995905411237
"136","TW","edge_rand",0.5,"321","Eff",0.12606286271384,0.00899764916851018
"137","TW","edge_rand",0.5,"321","Eigen",0.00760320165804246,0.000333757932693464
"138","TW","edge_rand",0.5,"321","Pcr",0.648850482677042,0.0258973176939824
"139","TW","edge_rand",0.6,"385","Eff",0.107448320840514,0.00915630646618481
"140","TW","edge_rand",0.6,"385","Eigen",0.00726003187204756,0.000438234942203671
"141","TW","edge_rand",0.6,"385","Pcr",0.458946022257759,0.0629485702456511
"142","TW","edge_rand",0.7,"449","Eff",0.09140165290001,0.013743370260497
"143","TW","edge_rand",0.7,"449","Eigen",0.0070052058330368,0.000686132259019454
"144","TW","edge_rand",0.7,"449","Pcr",-0.113287608113887,0.259231327010074
"145","TW","edge_rand",0.8,"514","Eff",0.0679381995995917,0.00978744281845156
"146","TW","edge_rand",0.8,"514","Eigen",0.00716373886548254,0.000793617411000191
"147","TW","edge_rand",0.8,"514","Pcr",-7.59064579548378,7.43091573051042
"148","TW","edge_rand",0.9,"578","Eff",0.0338283696229201,0.0105603777542289
"149","TW","edge_rand",0.9,"578","Eigen",0.00779666152407339,0.000810413165524312
"150","TW","edge_rand",0.9,"578","Pcr",3.4555323466643,0.520792768009833
"151","TW","edge_strong",0,"0","Eff",0.167619717311762,NA
"152","TW","edge_strong",0,"0","Eigen",0.0106415486787461,NA
"153","TW","edge_strong",0,"0","Pcr",0.906821480406386,NA
"154","TW","edge_strong",0.1,"64","Eff",0.165933046163016,NA
"155","TW","edge_strong",0.1,"64","Eigen",0.00934375962446806,NA
"156","TW","edge_strong",0.1,"64","Pcr",0.872980532614621,NA
"157","TW","edge_strong",0.2,"128","Eff",0.163167739575906,NA
"158","TW","edge_strong",0.2,"128","Eigen",0.00842673888308348,NA
"159","TW","edge_strong",0.2,"128","Pcr",0.827445976076622,NA
"160","TW","edge_strong",0.3,"193","Eff",0.159682751875766,NA
"161","TW","edge_strong",0.3,"193","Eigen",0.00793569153173477,NA
"162","TW","edge_strong",0.3,"193","Pcr",0.774736842105263,NA
"163","TW","edge_strong",0.4,"257","Eff",0.152768537762958,NA
"164","TW","edge_strong",0.4,"257","Eigen",0.00704477871831782,NA
"165","TW","edge_strong",0.4,"257","Pcr",0.676899099675772,NA
"166","TW","edge_strong",0.5,"321","Eff",0.132136867036411,NA
"167","TW","edge_strong",0.5,"321","Eigen",0.00620862112215833,NA
"168","TW","edge_strong",0.5,"321","Pcr",0.488652835658634,NA
"169","TW","edge_strong",0.6,"385","Eff",0.104084980001177,NA
"170","TW","edge_strong",0.6,"385","Eigen",0.00606055632894838,NA
"171","TW","edge_strong",0.6,"385","Pcr",0.120724519210085,NA
"172","TW","edge_strong",0.7,"449","Eff",0.0765472785116089,NA
"173","TW","edge_strong",0.7,"449","Eigen",0.00542444757242055,NA
"174","TW","edge_strong",0.7,"449","Pcr",-2.50786811539902,NA
"175","TW","edge_strong",0.8,"514","Eff",0.0506339024753458,NA
"176","TW","edge_strong",0.8,"514","Eigen",0.00538414667812718,NA
"177","TW","edge_strong",0.8,"514","Pcr",5.708,NA
"178","TW","edge_strong",0.9,"578","Eff",0.0207618170888843,NA
"179","TW","edge_strong",0.9,"578","Eigen",0.00634401089984354,NA
"180","TW","edge_strong",0.9,"578","Pcr",2.77001067235859,NA
"181","TW","node_rand",0,"0","Eff",0.167628704367863,0
"182","TW","node_rand",0,"0","Eigen",0.0106883084538406,0
"183","TW","node_rand",0,"0","Pcr",0.90765247410817,0
"184","TW","node_rand",0.1,"23","Eff",0.152990123703337,0.00848645528358398
"185","TW","node_rand",0.1,"23","Eigen",0.0103061203015637,0.000400571391802475
"186","TW","node_rand",0.1,"23","Pcr",0.87820011218933,0.0111154845114212
"187","TW","node_rand",0.2,"47","Eff",0.141473824153439,0.0110254783082697
"188","TW","node_rand",0.2,"47","Eigen",0.01084866584355,0.000812883272891636
"189","TW","node_rand",0.2,"47","Pcr",0.855379130005012,0.0241973819619247
"190","TW","node_rand",0.3,"70","Eff",0.128461932255406,0.0124870024102832
"191","TW","node_rand",0.3,"70","Eigen",0.0104325748107131,0.00123870639124934
"192","TW","node_rand",0.3,"70","Pcr",0.782034960072019,0.0576099525403674
"193","TW","node_rand",0.4,"94","Eff",0.108225632438381,0.0107913814453001
"194","TW","node_rand",0.4,"94","Eigen",0.0101310434943099,0.00109442345955657
"195","TW","node_rand",0.4,"94","Pcr",0.652597441675988,0.142597731514959
"196","TW","node_rand",0.5,"117","Eff",0.0891302827210259,0.0188028222778908
"197","TW","node_rand",0.5,"117","Eigen",0.0104044739441143,0.00165474242779212
